model-1579134871,1579134872.583,0.43,0.25,0.56,0.25
model-1579134871,1579134872.661,0.55,0.25,0.52,0.25
model-1579134871,1579134872.738,0.44,0.26,0.5,0.25
model-1579134871,1579134872.814,0.51,0.25,0.53,0.25
model-1579134871,1579134872.885,0.5,0.25,0.48,0.25
model-1579134871,1579134872.962,0.53,0.25,0.47,0.25
model-1579134871,1579134873.04,0.51,0.25,0.46,0.25
model-1579134871,1579134873.115,0.49,0.25,0.43,0.25
model-1579134871,1579134873.186,0.52,0.25,0.5,0.25
model-1579134871,1579134873.265,0.43,0.25,0.47,0.25
model-1579134871,1579134873.342,0.48,0.25,0.43,0.25
model-1579134871,1579134873.417,0.48,0.25,0.53,0.25
model-1579134871,1579134873.488,0.61,0.25,0.5,0.25
model-1579134871,1579134873.571,0.48,0.25,0.52,0.25
model-1579134871,1579134873.647,0.53,0.25,0.52,0.25
model-1579134871,1579134873.718,0.53,0.25,0.58,0.25
model-1579134871,1579134873.788,0.48,0.25,0.49,0.25
model-1579134871,1579134873.864,0.5,0.25,0.43,0.25
model-1579134871,1579134873.939,0.61,0.25,0.5,0.25
model-1579134871,1579134874.012,0.48,0.25,0.51,0.25
model-1579134871,1579134874.085,0.51,0.25,0.5,0.25
model-1579134871,1579134874.155,0.47,0.25,0.47,0.25
model-1579134871,1579134874.232,0.45,0.25,0.49,0.25
model-1579134871,1579134874.325,0.49,0.25,0.42,0.25
model-1579134871,1579134874.419,0.44,0.25,0.55,0.25
model-1579134871,1579134874.495,0.51,0.25,0.57,0.25
model-1579134871,1579134874.568,0.58,0.25,0.57,0.25
model-1579134871,1579134874.643,0.48,0.25,0.5,0.25
model-1579134871,1579134874.715,0.51,0.25,0.49,0.25
model-1579134871,1579134874.785,0.51,0.25,0.56,0.25
model-1579134871,1579134874.859,0.54,0.25,0.5,0.25
model-1579134871,1579134874.974,0.45,0.25,0.49,0.25
model-1579134871,1579134875.071,0.53,0.25,0.49,0.25
model-1579134871,1579134875.168,0.54,0.25,0.59,0.24
model-1579134871,1579134875.243,0.55,0.25,0.56,0.25
model-1579134871,1579134875.316,0.5,0.25,0.48,0.25
model-1579134871,1579134875.388,0.62,0.24,0.48,0.25
model-1579134871,1579134875.464,0.46,0.25,0.51,0.25
model-1579134871,1579134875.539,0.56,0.25,0.57,0.24
model-1579134871,1579134875.613,0.61,0.24,0.59,0.24
model-1579134871,1579134875.707,0.6,0.24,0.58,0.25
model-1579134871,1579134875.782,0.48,0.24,0.57,0.26
model-1579134871,1579134875.854,0.59,0.25,0.58,0.24
model-1579134871,1579134875.932,0.59,0.25,0.6,0.25
model-1579134871,1579134876.025,0.5,0.25,0.59,0.25
model-1579134871,1579134876.12,0.54,0.24,0.6,0.24
model-1579134871,1579134876.213,0.5,0.24,0.5,0.25
model-1579134871,1579134876.284,0.57,0.25,0.53,0.25
model-1579134871,1579134876.355,0.6,0.24,0.52,0.25
model-1579134871,1579134876.452,0.51,0.24,0.62,0.24
model-1579134871,1579134876.565,0.5,0.24,0.54,0.24
model-1579134871,1579134876.68,0.47,0.25,0.5,0.25
model-1579134871,1579134876.773,0.59,0.24,0.61,0.24
model-1579134871,1579134876.869,0.48,0.25,0.47,0.25
model-1579134871,1579134876.945,0.59,0.24,0.61,0.25
model-1579134871,1579134877.019,0.5,0.24,0.63,0.24
model-1579134871,1579134877.089,0.56,0.25,0.59,0.24
model-1579134871,1579134877.166,0.55,0.25,0.6,0.24
model-1579134871,1579134877.239,0.5,0.24,0.53,0.25
model-1579134871,1579134877.313,0.46,0.24,0.52,0.25
model-1579134871,1579134877.383,0.6,0.24,0.58,0.24
model-1579134871,1579134877.478,0.56,0.25,0.59,0.25
model-1579134871,1579134877.55,0.56,0.25,0.54,0.26
model-1579134871,1579134877.644,0.46,0.25,0.57,0.24
